transition,k,singular_value,normalized
L15_to_L16,37,1.700358271598816,0.4587244391441345
L15_to_L16,38,1.692718744277954,0.45666342973709106
L15_to_L16,39,1.687671422958374,0.45530176162719727
L15_to_L16,40,1.6821755170822144,0.45381906628608704
L15_to_L16,41,1.6779261827468872,0.45267269015312195
L15_to_L16,42,1.67214035987854,0.451111763715744
L15_to_L16,43,1.6676150560379028,0.44989094138145447
L15_to_L16,44,1.6649278402328491,0.4491659700870514
L15_to_L16,45,1.6577998399734497,0.44724297523498535
L15_to_L16,46,1.6512161493301392,0.4454668164253235
L15_to_L16,47,1.6487492322921753,0.44480130076408386
L15_to_L16,48,1.6432076692581177,0.4433062970638275
L15_to_L16,49,1.641805648803711,0.4429280459880829
L15_to_L16,50,1.6382371187210083,0.4419653117656708
L15_to_L16,51,1.6329655647277832,0.44054314494132996
L15_to_L16,52,1.6296662092208862,0.43965306878089905
L15_to_L16,53,1.6287205219268799,0.439397931098938
L15_to_L16,54,1.6232542991638184,0.43792325258255005
L15_to_L16,55,1.6162220239639282,0.43602606654167175
L15_to_L16,56,1.6133239269256592,0.43524420261383057
L15_to_L16,57,1.6115331649780273,0.434761106967926
L15_to_L16,58,1.6061642169952393,0.43331265449523926
L15_to_L16,59,1.6047283411026,0.432925283908844
L15_to_L16,60,1.6018776893615723,0.4321562349796295
L15_to_L16,61,1.5969716310501099,0.4308326840400696
L15_to_L16,62,1.596435785293579,0.43068811297416687
L15_to_L16,63,1.595100998878479,0.43032801151275635
L15_to_L16,64,1.588536024093628,0.4285569190979004
L15_to_L16,65,1.5860997438430786,0.42789965867996216
L15_to_L16,66,1.5841606855392456,0.42737653851509094
L15_to_L16,67,1.5823655128479004,0.4268922209739685
L15_to_L16,68,1.580061435699463,0.42627063393592834
L15_to_L16,69,1.5747530460357666,0.42483851313591003
L15_to_L16,70,1.5721752643585205,0.42414307594299316
L15_to_L16,71,1.569584608078003,0.4234441816806793
L15_to_L16,72,1.5666253566741943,0.42264583706855774
L15_to_L16,73,1.5642480850219727,0.42200449109077454
L15_to_L16,74,1.5602080821990967,0.42091456055641174
L15_to_L16,75,1.5586087703704834,0.4204831123352051
L15_to_L16,76,1.5550110340118408,0.4195125102996826
L15_to_L16,77,1.55318284034729,0.41901928186416626
L15_to_L16,78,1.5507216453552246,0.4183553159236908
L15_to_L16,79,1.5488841533660889,0.41785958409309387
L15_to_L16,80,1.5452032089233398,0.4168665409088135
L15_to_L16,81,1.5449423789978027,0.41679617762565613
L15_to_L16,82,1.5397207736968994,0.41538748145103455
L15_to_L16,83,1.5383332967758179,0.4150131642818451
L15_to_L16,84,1.5347741842269897,0.4140529930591583
L15_to_L16,85,1.534064531326294,0.41386154294013977
L15_to_L16,86,1.5321961641311646,0.4133574962615967
L15_to_L16,87,1.5298943519592285,0.4127365052700043
L15_to_L16,88,1.5272868871688843,0.4120330512523651
L15_to_L16,89,1.5260316133499146,0.41169440746307373
L15_to_L16,90,1.5240333080291748,0.4111553132534027
L15_to_L16,91,1.5227830410003662,0.4108180105686188
L15_to_L16,92,1.518998622894287,0.4097970426082611
L15_to_L16,93,1.5182310342788696,0.409589946269989
L15_to_L16,94,1.5160706043243408,0.40900710225105286
L15_to_L16,95,1.5140726566314697,0.408468097448349
L15_to_L16,96,1.5123895406723022,0.4080140292644501
L15_to_L16,97,1.5108681917190552,0.40760359168052673
L15_to_L16,98,1.5060455799102783,0.4063025414943695
L15_to_L16,99,1.5042914152145386,0.4058293104171753
L25_to_L26,0,3.461897134780884,1.0
L25_to_L26,1,3.2058889865875244,0.9260497689247131
L25_to_L26,2,2.7283098697662354,0.7880967259407043
L25_to_L26,3,2.6881110668182373,0.7764849662780762
L25_to_L26,4,2.642106771469116,0.7631962299346924
L25_to_L26,5,2.5907578468322754,0.7483636140823364
L25_to_L26,6,2.574540138244629,0.7436789870262146
L25_to_L26,7,2.518895149230957,0.727605402469635
L25_to_L26,8,2.501241683959961,0.722506046295166
L25_to_L26,9,2.476821184158325,0.7154520153999329
L25_to_L26,10,2.4595682621002197,0.7104683518409729
L25_to_L26,11,2.4191126823425293,0.6987823843955994
L25_to_L26,12,2.415773391723633,0.6978178024291992
L25_to_L26,13,2.3809938430786133,0.6877713799476624
L25_to_L26,14,2.3250837326049805,0.6716212630271912
